place,count,amount,users,category,lat,lng,address,place_url,subtype
고등어밥상,1,100000,의장,음식점,37.477319891630366,126.9386154236597,서울 관악구 쑥고개로 12,http://place.map.kakao.com/2113001336,한식
오렌지 힐,1,99600,의장,카페,37.4160306856619,126.994252429995,경기 과천시 구리안로 83,http://place.map.kakao.com/2032309232,카페
해성농수산,1,90000,의장,기타,,,,,기타
시루원,1,90000,의장,음식점,,,,,한식
바크,1,89000,부의장,음식점,37.3837266723351,126.964802208734,경기 안양시 동안구 관평로69번길 6,http://place.map.kakao.com/24978226,한식
산고을,1,85000,부의장,음식점,37.42695900329097,126.99199652057881,경기 과천시 별양상가1로 10,http://place.map.kakao.com/16384433,한식
바르다김선생,1,82200,부의장,음식점,37.41462635237473,126.9806328129981,경기 과천시 과천대로7가길 20,http://place.map.kakao.com/1558822154,한식
은지순대,1,81450,의회사무과장,음식점,37.42686168634083,126.99189258978174,경기 과천시 별양상가1로 10,http://place.map.kakao.com/9343820,한식
크로앙쥬,1,81450,의회사무과장,카페,37.4284205608144,126.993787127479,경기 과천시 별양상가1로 37,http://place.map.kakao.com/671394268,카페
산촌신쭈꾸미,1,78000,의회사무과장,음식점,37.428988060689925,126.99152064735058,경기 과천시 새술막길 38,http://place.map.kakao.com/668191164,한식
봉덕칼국수,1,76000,의회사무과장,음식점,37.4398974662265,127.009749563472,경기 과천시 궁말로 6,http://place.map.kakao.com/9029351,한식
보리촌곤드레,1,76000,의장,음식점,37.416580046548575,126.9729112157812,경기 과천시 삼현로 53-107,http://place.map.kakao.com/1444425976,한식
남도연,1,75000,부의장,음식점,37.42827812820284,126.99254321132143,경기 과천시 별양상가1로 25,http://place.map.kakao.com/2034108773,한식
라운지디,1,74600,의장,음식점,37.4313004704886,127.020079905403,경기 과천시 광명로 313,http://place.map.kakao.com/13319372,한식
카페 더샤이어,1,73000,의장,카페,37.4136943024003,126.993469797536,경기 과천시 매봉로 14,http://place.map.kakao.com/1204847088,카페
코케,1,72500,부의장,카페,37.4284151541853,126.993776959559,경기 과천시 별양상가1로 37,http://place.map.kakao.com/303576878,카페
락앤웍,1,61000,의장,음식점,37.42325047971256,126.99301820110801,경기 과천시 별양로 46,http://place.map.kakao.com/12247097,중식
닭싸움,1,60000,부의장,음식점,37.4280078483577,126.992955619656,경기 과천시 별양상가로 7,http://place.map.kakao.com/397208317,한식
남원골추어탕,1,60000,의장,음식점,37.4825494733693,126.952585769679,서울 관악구 봉천로 469-8,http://place.map.kakao.com/27599820,한식
로이스커피,1,56500,부의장,카페,,,,,카페
융가비,1,55600,의장,카페,37.42213723132119,127.01944029387724,경기 과천시 막계동 890-1,http://place.map.kakao.com/1250953893,카페
더푸짐,1,52850,부의장,음식점,37.4112274882303,126.99914153414123,경기 과천시 매봉로 72,http://place.map.kakao.com/231934577,한식
k.one,1,52400,의장,카페,37.45164439253487,127.00041364142078,경기 과천시 중앙로 429,http://place.map.kakao.com/384754782,카페
온온,1,52000,의회사무과장,음식점,37.4297943766252,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/851067273,한식
낙지마당,1,51000,의회사무과장,음식점,37.42695900329097,126.99199652057881,경기 과천시 별양상가1로 10,http://place.map.kakao.com/20894860,한식
포렛팜,1,48600,부의장,미확인,,,,,기타
봉추찜닭,1,47000,부의장,음식점,37.429370111099374,126.99179289398214,경기 과천시 새술막길 39,http://place.map.kakao.com/13061751,한식
모두의쌀국수,1,42500,부의장,미확인,,,,,기타
고향소갈비찜,1,41700,의회사무과장,음식점,37.42970254027881,126.99115449929421,경기 과천시 관문로 92,http://place.map.kakao.com/68995012,한식
과천뚝빵집,1,40750,부의장,카페,37.41472524553205,126.979339380826,경기 과천시 과천대로7길 26,http://place.map.kakao.com/1822995355,베이커리
수산궁,1,40000,부의장,음식점,37.42833301160363,126.9913862729738,경기 과천시 중앙로 131,http://place.map.kakao.com/10545589,한식
몬안베띠,1,37900,부의장,음식점,37.42979437663336,126.99029581065834,경기 과천시 관문로 92,http://place.map.kakao.com/877253762,아시안
유천칡냉면,1,36000,의장,음식점,37.3830775255809,126.963452063223,경기 안양시 동안구 관평로69번길 31,http://place.map.kakao.com/16169079,한식
이화수전통육개장,1,35000,의장,음식점,37.45617340512769,127.00949398208884,경기 과천시 중앙로 527,http://place.map.kakao.com/27391318,한식
파리바게뜨,1,34900,부의장,음식점,37.42861684966474,126.99163254155228,경기 과천시 중앙로 135,http://place.map.kakao.com/12363339,베이커리
포에지,1,32500,의회사무과장,음식점,37.433549093247855,126.99282516237923,경기 과천시 관문로 135,http://place.map.kakao.com/669083079,한식
삼동소바,1,32000,부의장,음식점,37.4171864819763,126.99089502238743,경기 과천시 과천대로12길 117,http://place.map.kakao.com/419977638,일식
아라비카커핑,1,31500,의회사무과장,카페,37.4450671434378,127.024554136334,경기 과천시 삼부골로 54,http://place.map.kakao.com/15228906,카페
투썸플레이스,1,31300,의장,카페,37.42950340266817,126.99098391765837,경기 과천시 관문로 92,http://place.map.kakao.com/2127960285,카페
플라브,1,28500,의회사무과장,카페,37.42159045881883,126.98857631200573,경기 과천시 중앙로 59,http://place.map.kakao.com/180818937,카페
키키앤로지,1,26400,부의장,카페,37.4291883477334,127.003182731522,경기 과천시 공원마을1길 28,http://place.map.kakao.com/777049876,카페
크레마,1,26000,의회사무과장,카페,37.4655170977236,127.02166705867,서울 서초구 성촌1길 20,http://place.map.kakao.com/304950858,카페
커피타임,1,25700,의회사무과장,카페,37.4281931700865,126.9891526443727,경기 과천시 통영로 5,http://place.map.kakao.com/176178527,카페
프랑스 빵선생,1,25000,의회사무과장,카페,37.4488665462071,126.997734097319,경기 과천시 과천동 522-49,http://place.map.kakao.com/1385150531,베이커리
타이거커피,1,23100,의회사무과장,카페,37.4288042686734,126.991738724184,경기 과천시 중앙로 137,http://place.map.kakao.com/27583275,카페
1페이지,1,22500,의회사무과장,카페,37.4540563959578,127.001537077587,경기 과천시 뒷골1로 18,http://place.map.kakao.com/1002392813,카페
진지방순대국,1,20000,의회사무과장,음식점,37.44629923580919,127.0090022762779,경기 과천시 말두레로 47,http://place.map.kakao.com/20599938,한식
13월의 태양,1,19800,의회사무과장,카페,37.43272286759569,126.99293032038638,경기 과천시 관문로 130,http://place.map.kakao.com/966979301,카페
카페 모나,1,11500,의회사무과장,카페,37.4330066942014,126.993038762895,경기 과천시 관문로 130,http://place.map.kakao.com/1799025932,카페
커피나인,1,10800,부의장,카페,37.4258425897636,126.991248725148,경기 과천시 별양상가3로 14,http://place.map.kakao.com/1994052835,카페
토르토니,1,7500,부의장,카페,,,,,카페
